Planet,Mass (kg),Diameter (AU),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (10^6 km),Perihelion (AU),Aphelion (AU),Semi-Major Axis (AU),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?,Orbital Period (years)
Mercury,3.3e+23 kg,3.261410056954774e-05,5429,3.7,4.3,1407.6,4222.6,57.9,3.0749100762434847e-07,4.665841811343374e-07,0.38703759437934293,47.4,7.0,0.206,0.034,167,0.0,0,No,Yes,0.24093086926762491
Venus,4.87e+24 kg,8.091024252793725e-05,5243,8.9,10.4,-5832.5,2802.0,108.2,7.185931156438578e-07,7.279515376150337e-07,0.7232723266294457,35.0,3.4,0.007,177.4,464,92.0,0,No,No,0.6151950718685831
Earth,5.969999999999999e+24 kg,8.526859333165628e-05,5514,9.8,11.2,23.9,24.0,149.6,9.833027656856881e-07,1.0167257012970304e-06,1.0000142334913593,29.8,0.0,0.017,23.4,15,1.0,1,No,Yes,0.9998631074606433
Moon,7.3e+22 kg,2.3228940249882844e-05,3340,1.6,2.4,655.7,708.7,0.384,2.426505125383445e-09,2.713942371640989e-09,0.002570223748512217,1.0,5.1,0.055,6.7,-20,0.0,0,No,No,0.07474332648870637
Mars,6.42e+23 kg,4.5401715734447276e-05,3934,3.7,5.0,24.6,24.7,228.0,1.3817041581728874e-06,1.6664675695815233e-06,1.5240858638772055,24.1,1.8,0.094,25.2,-65,0.01,2,No,No,1.8809034907597535
Jupiter,1.898e+27 kg,0.0009557890050904313,1326,23.1,59.5,9.9,9.9,778.5,4.9506052227520104e-06,5.457296926619958e-06,5.2039510746859845,13.1,1.3,0.049,3.1,-110,,95,Yes,Yes,11.85763175906913
Saturn,5.68e+26 kg,0.0008057333933697492,687,9.0,35.5,10.7,10.7,1432.0,9.07499547719164e-06,1.0070330499697412e-05,9.572662988444526,9.7,2.5,0.052,26.7,-140,,274,Yes,Yes,29.423682409308693
Uranus,8.68e+25 kg,0.00034170272451611837,1270,8.7,21.3,-17.2,17.2,2867.0,1.8266971229022978e-05,2.006311978877651e-05,19.165045508899745,6.8,0.8,0.047,97.8,-195,,28,Yes,Yes,83.74811772758385
Neptune,1.0199999999999999e+26 kg,0.00033107423099171154,1638,11.0,23.5,16.1,16.1,4515.0,2.9887457482374446e-05,3.047436423170961e-05,30.18091085704203,5.4,1.8,0.01,28.3,-200,,16,Yes,Yes,163.72347707049965
Pluto,1.3e+22 kg,1.5882579002509825e-05,1850,0.7,1.3,-153.3,153.3,5906.4,2.9658176144080637e-05,4.930484615513982e-05,39.48151114961023,4.7,17.2,0.244,119.5,-225,1e-05,5,No,Unknown,247.93976728268308
